id,industry_name,sector_name
3dc8ab52-6d09-4737-9e2a-eb6d2ce87dda,"Technology Hardware, Storage and Peripherals",Information Technology
23c606f0-9b57-4051-be35-23c754050eba,Equity Real Estate Investment Trusts (REITs),Real Estate
5760c5dd-c2eb-4fe9-8d27-5be4fdd1e464,Semiconductors and Semiconductor Equipment,Information Technology
03fe8721-403e-4d49-bfeb-40172fc6c2b2,Pharmaceuticals,Health Care
759f59fe-48c0-44ae-877c-25f0080bcb32,Automobiles,Consumer Discretionary
afc36993-d98a-44b8-8941-79e06720ac85,Biotechnology,Health Care
db204e51-a624-4c00-a3be-01650d8e413e,Interactive Media and Services,Communication Services
4e18f48b-056c-4f7e-a9fd-ffbb8f2396b1,Ground Transportation,Industrials
a1e5ff84-a36f-4374-9e6d-c2358c258a8e,Consumer Staples Distribution and Retail,Consumer Staples
7b1702e4-c3aa-43cf-9a70-d165bca67a61,Health Care Providers and Services,Health Care
cb314227-6dc7-44e9-ac07-811ba2396e92,Broadline Retail,Consumer Discretionary
d8337bb6-3515-4016-9ea4-1c82559695ce,Financial Services,Financials
8a47bc0a-807a-4e40-b1b9-8fbf52574bb7,Food Products,Consumer Staples
8c7e26f6-3948-47e5-bca6-bb03e96da380,Software,Information Technology
86c2748e-0345-403f-a690-e480f1886905,Aerospace and Defense,Industrials
abc6c622-d136-47d4-a52d-8ae53d9445eb,Electric Utilities,Utilities
df3c4bfb-1310-4175-a12b-a09c99478197,Beverages,Consumer Staples
3970c1a1-315a-4e85-b5fd-d5af93a3e9ca,Machinery,Industrials
671d7ae6-e9aa-4bf5-b073-85f4192a983a,Life Sciences Tools and Services,Health Care
bf10aeb0-e362-4867-8d78-847aac04ef25,Household Durables,Consumer Discretionary
2d4b7488-44a6-4558-8b57-ee5ac0119caa,"Oil, Gas and Consumable Fuels",Energy
8ea24bdc-e51c-48ab-8744-6acad4859742,Media,Communication Services
d1a9c991-281d-4a1a-94ee-81a9b43c533c,Building Products,Industrials
b615a786-0a81-4371-b032-387e143eea9a,Professional Services,Industrials
f5ac12ca-f4f2-4b1c-88a9-c44bc8be7985,Chemicals,Materials
07b23538-dcb7-419e-a26e-fc7380c87f6f,"Hotels, Restaurants and Leisure",Consumer Discretionary
42bd28b8-cfed-4a79-ba27-3c7244e3d472,Banks,Financials
2c77a593-a511-4566-86b8-2e440fa294f5,IT Services,Information Technology
f1e644dc-5340-42eb-bd11-340c88ffa0e4,Specialty Retail,Consumer Discretionary
4532bf64-5646-408b-8e91-f44a5ad01d9f,Commercial Services and Supplies,Industrials
